"","INCIDENT_ADDRESS","BOROUGH","COMMUNITY_BOARD","POLICE_PRECINCT","CITY_COUNCIL_DISTRICT","BBL","CREATED_DATE","STATUS","RESOLUTION_ACTION","CLOSED_DATE","X_COORDINATE","Y_COORDINATE","dispatched","resolution","date","responseTime","dow","weekday","latlong","count"
"1","223 EAST HOUSTON STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004120061,"05/19/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/26/2017",987992,202427,1,"Cleaning crew dispatched.  Property cleaned.","2017/05",38,"Friday",1,"987992,202427",4
"2","24 EAST   37 STREET","MANHATTAN","06 MANHATTAN","Precinct 17",4,1008660058,"03/27/2017","Closed","Cleaning crew dispatched. No graffiti on property.","06/08/2017",989433,212355,1,"Cleaning crew dispatched. No graffiti on property.","2017/03",73,"Monday",1,"989433,212355",1
"3","77 ELDRIDGE STREET","MANHATTAN","03 MANHATTAN","Precinct 5",1,1003060030,"10/11/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/14/2017",986309,200495,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",34,"Wednesday",1,"986309,200495",2
"5","32 2 AVENUE","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004430008,"10/08/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/02/2017",986887,203310,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",25,"Sunday",0,"986887,203310",1
"6","1261 BROADWAY","MANHATTAN","05 MANHATTAN","Precinct 14",3,1008330006,"07/11/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/29/2017",987504,211753,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",80,"Tuesday",1,"987504,211753",2
"7","34 SPRING STREET","MANHATTAN","02 MANHATTAN","Precinct 5",1,1004800021,"08/01/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/14/2017",985433,202219,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",44,"Tuesday",1,"985433,202219",2
"8","146 ESSEX STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1003540108,"07/24/2017","Closed","Cleaning crew dispatched.  Property cleaned.","08/10/2017",987796,201760,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",17,"Monday",1,"987796,201760",1
"9","46 DELANCY STREET","MANHATTAN","03 MANHATTAN","Precinct 5",1,1004200074,"08/26/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/05/2017",986569,201446,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",40,"Saturday",1,"986569,201446",3
"10","94 ALLEN STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004140057,"11/06/2017","Closed","Cleaning crew dispatched.  Owner refused.","11/27/2017",986818,201042,1,"Cleaning crew dispatched.  Owner refused.","2017/11",21,"Monday",1,"986818,201042",4
"11","331 WEST   38 STREET","MANHATTAN","04 MANHATTAN","Precinct 14",3,1007620017,"08/12/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/27/2017",986283,214399,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",107,"Saturday",1,"986283,214399",1
