INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
40 WARSOFF PLACE,BROOKLYN,03 BROOKLYN,Precinct 79,33,3017170006,03/17/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/15/2017,996990,193599
570 NOSTRAND AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018650062,07/05/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/16/2017,998220,186744
805 EAST  139 STREET,BRONX,01 BRONX,Precinct 40,17,2025910037,07/30/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/30/2017,1009260,232359
2933 AVENUE U,BROOKLYN,15 BROOKLYN,Precinct 61,46,3073350046,04/17/2017,Closed,Cleaning crew dispatched.  Cannot locate property.,06/20/2017,1000459,158047
2610 EAST   14 STREET,BROOKLYN,15 BROOKLYN,Precinct 61,48,3074580009,05/09/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/20/2017,996706,153222
453 20 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008880064,09/20/2017,Closed,Cleaning crew dispatched.  Property cleaned.,12/05/2017,988312,178788
149 PARK AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3020300048,11/01/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/30/2017,991567,192942
1772 WESTCHESTER AVENUE,BRONX,09 BRONX,Precinct 43,18,2037620037,10/28/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/29/2017,1020890,242248
1696 ATLANTIC AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,36,3013350023,10/20/2017,Closed,Cleaning crew dispatched.  Owner refused.,11/20/2017,1002411,186164
420 JACKSON AVENUE,BRONX,01 BRONX,Precinct 40,08,2025780001,06/02/2017,Closed,Cleaning crew dispatched.  Cannot locate property.,07/13/2017,1009094,234368
223 EAST HOUSTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004120061,05/19/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/26/2017,987992,202427
25-39 PARSONS BOULEVARD,QUEENS,07 QUEENS,Precinct 109,20,4047790009,05/25/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/21/2017,1032863,221920
87-87 FRANCIS LEWIS BOULEVARD,QUEENS,08 QUEENS,Precinct 107,23,4105890001,03/13/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/12/2017,1050878,202164
5602 6 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008400038,04/27/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/09/2017,980999,172565
24 EAST   37 STREET,MANHATTAN,06 MANHATTAN,Precinct 17,04,1008660058,03/27/2017,Closed,Cleaning crew dispatched. No graffiti on property.,06/08/2017,989433,212355
1201 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3029440011,04/27/2017,Closed,Cleaning crew dispatched.  Property cleaned.,05/30/2017,1003991,199515
1322 GARRISON AVENUE,BRONX,02 BRONX,Precinct 41,17,2027610115,03/06/2017,Closed,Cleaning crew dispatched.  Property cleaned.,05/16/2017,1015597,238442
3495 NOSTRAND AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,46,3073630036,03/12/2017,Closed,Cleaning crew dispatched.  Property cleaned.,05/10/2017,1000476,157447
3512 FLATLANDS AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,45,3076970043,02/18/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/24/2017,1000704,164336
1535 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065640075,02/21/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/20/2017,991400,163492
1001 TIFFANY STREET,BRONX,02 BRONX,Precinct 41,17,2027150029,03/12/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/18/2017,1013340,239229
77 ELDRIDGE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1003060030,10/11/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/14/2017,986309,200495
223 EAST HOUSTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004120061,10/12/2017,Closed,Cleaning crew dispatched.  Cannot locate property.,11/03/2017,987992,202427
32 2 AVENUE,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004430008,10/08/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/02/2017,986887,203310
105-07 150 STREET,QUEENS,12 QUEENS,Precinct 103,28,4101120068,09/17/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/31/2017,1039266,192994
2265 EAST TREMONT AVENUE,BRONX,11 BRONX,Precinct 49,13,2040420236,08/05/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/20/2017,1024194,246153
421 EAST  161 STREET,BRONX,03 BRONX,Precinct 42,17,2023830012,09/21/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/19/2017,1008279,239495
4909 FARRAGUT ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,45,3047840046,08/10/2017,Closed,Cleaning crew dispatched. No graffiti on property.,10/16/2017,1003774,171512
1467 39 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053470049,09/17/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/13/2017,989048,171891
908 JENNINGS STREET,BRONX,03 BRONX,Precinct 42,17,2029760081,07/30/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/11/2017,1014365,242621
1261 BROADWAY,MANHATTAN,05 MANHATTAN,Precinct 14,03,1008330006,07/11/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/29/2017,987504,211753
1986 FULTON STREET,BROOKLYN,03 BROOKLYN,Precinct 81,41,3015490001,08/13/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/21/2017,1006748,186560
668 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3026470048,07/14/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/21/2017,997738,203328
566 NOSTRAND AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018650060,07/05/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/20/2017,998223,186775
34 SPRING STREET,MANHATTAN,02 MANHATTAN,Precinct 5,01,1004800021,08/01/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/14/2017,985433,202219
77-20 QUEENS BOULEVARD,QUEENS,04 QUEENS,Precinct 110,25,4024520007,06/28/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/07/2017,1015921,208294
115-05 15 AVENUE,QUEENS,07 QUEENS,Precinct 109,19,4040670015,08/08/2017,Closed,Cleaning crew dispatched. No graffiti on property.,09/07/2017,1025296,224942
21-27 31 STREET,QUEENS,01 QUEENS,Precinct 114,22,4008310020,07/05/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/06/2017,1009396,222496
851 EAST  156 STREET,BRONX,02 BRONX,Precinct 41,17,2026880001,08/05/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/29/2017,1011260,237073
436 KNICKERBOCKER AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032880015,07/24/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/25/2017,1006648,194058
210 EAST  188 STREET,BRONX,05 BRONX,Precinct 46,15,2031520078,07/07/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/23/2017,1012680,253054
533 BERGEN AVENUE,BRONX,01 BRONX,Precinct 40,17,2022930021,07/19/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/21/2017,1007195,236404
242 HIMROD STREET,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032790008,07/10/2017,Closed,Cleaning crew dispatched.  Owner refused.,08/14/2017,1006492,194373
2398 GRAND CONCOURSE,BRONX,05 BRONX,Precinct 46,15,2031520046,07/07/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/11/2017,1012330,252593
146 ESSEX STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003540108,07/24/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/10/2017,987796,201760
1564 EAST  174 STREET,BRONX,09 BRONX,Precinct 43,18,2038860001,06/29/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/08/2017,1017989,243151
1845 ROCKAWAY PARKWAY,BROOKLYN,18 BROOKLYN,Precinct 69,46,3082620006,07/04/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/01/2017,1013770,171501
1127 61 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,44,3057170068,06/28/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/27/2017,983470,168980
57 MESEROLE AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3025940001,06/20/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/26/2017,996695,203894
791 FLUSHING AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3031270032,03/20/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/15/2017,1000614,194658
1818 FLATBUSH AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,45,3076180007,02/23/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/15/2017,1000906,167191
104-31 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,32,4092000033,07/06/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/25/2017,1027898,192600
1868 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3063710048,08/12/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/15/2017,983961,160159
2342 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3068620042,07/05/2017,Closed,Cleaning crew dispatched. No graffiti on property.,09/15/2017,986868,157854
1043 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041710040,07/24/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/30/2017,1020152,186393
1573 73 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,43,3061910044,09/16/2017,Closed,Cleaning crew dispatched.  Property cleaned.,12/06/2017,984152,164403
46 DELANCY STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004200074,08/26/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/05/2017,986569,201446
32-02 31 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4006140039,10/22/2017,Closed,Cleaning crew dispatched.  Property cleaned.,12/01/2017,1005707,217594
